74.5	76.5	73.66501936	75.93547772	65	69.5	64.28941239	67.91149842
65	67.5	68.89940053	71.44498091	57	59.5	60.35336247	63.04420426
71	71.5	71.89178703	73.43298311	64.5	66	64.34258122	66.58093156
71	72	71.91105831	73.7212012	63.5	68.5	63.72587658	67.72056733
69.5	76.5	71.14534442	75.8416203	61	66.5	62.7115274	67.13136295
68	69	69.98837855	71.75742345	61	63	62.31309751	64.69519388
78.5	87	75.60175535	81.20078758	71.5	79	67.6967558	72.67720706
82.5	86.5	77.59538599	80.81036741	71.5	78	67.92389987	72.77436766
62	63	67.2861538	69.11053235	52	55	57.81164397	60.60137992
75	75.5	73.83114608	75.31362181	63.5	65	63.86385056	66.20375602
82.5	84.5	77.66309448	79.96452502	72.5	77	68.27306623	71.83319585
70	83	71.07295363	78.84749821	62	68	62.75648893	67.15482274
74.5	75	72.90369647	74.38674169	66.5	67	65.10748701	66.74133952
76.5	77.5	74.18391883	75.89289599	69	73	66.7960532	70.48599895
76.5	77	74.58614163	76.16726379	69.5	71.5	66.75056994	69.22482786
74.5	78.5	73.21385401	76.38827099	67	72	65.63685665	69.74290817
68	71	70.32547069	73.10174482	58.5	61.5	61.13784839	64.12639263
70.5	71	70.985787	72.42918868	60.5	63.5	62.36936959	65.4875563
72	74	72.2069055	74.48772674	62	68.5	63.26218452	68.1736457
70.5	73	71.66395337	74.24022412	62.5	65	63.38246166	66.23301376
64	64	68.37907527	69.74176942	56	56	60.11973686	61.72583364
71.5	78.5	72.17603817	76.93703769	66	71	65.10721389	69.17931893
65.5	66	69.08939904	70.68433886	56	57.5	59.75569807	61.72801239
64.5	66.5	68.15890346	70.35866124	57.5	60.5	60.98961092	64.00475553
66	66	69.0584598	70.30239371	56	58	59.92846225	62.4217537
67	68	69.69552775	71.45424536	58	59	60.99094594	62.98549085
74	77.5	73.34996978	76.33993234	69	73.5	66.40226051	70.20053026
64	65.5	68.06416303	70.08595168	56.5	60	60.05107294	63.21541398
60	61	66.00557928	67.75016283	54	55	58.99018361	61.03028468
64.5	66.5	68.24167137	70.51320754	57	61	60.48630125	64.05485857
72	73	72.16930006	73.90052657	64	65	63.76654792	65.51448454
72	74.5	72.21776735	74.68131477	64	64.5	64.17377478	66.07990753
66	67	69.22736101	71.00019021	56.5	62	60.14879073	64.36945677
70	72	71.24990177	73.43376722	61	66	62.72830826	66.79393401
67	67.5	69.86536488	71.36791005	58	59.5	60.76062359	62.84677631
65	66	68.83216726	70.53072749	56	62.5	59.88524315	64.66219942
65.5	67.5	69.1099671	71.46205251	57	60.5	60.57728461	63.93306418
63	63.5	67.56703859	68.99530054	53	54	58.4278553	60.48866901
68.5	71	70.38122534	72.84552758	63	64	63.61751189	65.50209039
76.5	78	74.64288471	76.7066975	68.5	73	66.26289727	70.1034053
77	81	74.73475625	77.92010734	69	72.5	66.28865054	69.4067323
72.5	77	72.2995865	75.76187994	62	66.5	62.84944049	66.53926272
63	62.5	67.2983131	68.23963634	53	52	58.19484985	58.96262494
66	67	69.33589313	71.18546373	57.5	59	60.96832678	63.40487615
68	68.5	70.37636166	71.967047	62	62.5	63.21684196	65.00777714
64.5	64.5	68.57354503	69.92416268	55	57	59.40459422	61.86060349
68	70	70.09510938	72.31198663	59	62.5	61.61057122	64.85263695
68	71.5	69.62036455	72.63610536	63.5	70	64.04275348	68.96381053
72.5	74.5	72.60289476	74.90637144	62.5	64.5	63.11575773	65.54380266
68.5	71	70.43829692	73.01824306	62.5	64.5	63.35332187	65.65395049
66.5	68	68.60632696	70.56966024	61	62.5	62.42146771	64.67974845
70	71	71.37326549	73.26360583	63.5	67	63.68698752	66.84510144
64.5	64	68.5759881	69.59486191	56	57	59.85744557	61.94075664
63	63.5	67.8321256	69.39840148	55.5	59.5	59.7625008	63.31338153
64.5	64.5	68.4736377	69.7536487	55.5	55.5	59.65425389	61.04460645
69.5	73	70.9145556	73.89725482	62	64.5	62.98552294	65.76574024
63	65.5	67.87379456	70.45585645	54	57.5	58.8753739	62.02483442
60.5	61	66.3034303	67.81165835	53.5	55.5	58.78826868	61.3409889
75.5	78.5	73.59258234	76.37372363	66	71.5	65.05740125	69.34216109
67.5	69.5	70.05695512	72.32492353	61	62.5	62.41574883	64.77392079
65	69.5	68.94734792	72.45640436	55	56.5	59.89646209	62.35082538
68.5	70	70.5058265	72.49601605	58.5	61.5	61.3023154	64.37036971
69	70	70.22886129	71.99431235	61.5	61.5	62.90336673	64.3070462
75	76	73.81419982	75.63365042	67	68	65.54914265	67.53830046
68.5	68.5	70.65547858	71.90741541	57	59	60.50297619	63.00361166
68.5	71	70.53037958	72.97373426	62	64.5	63.08134273	65.84168742
70	73	71.06645809	73.7932472	61	64	62.22312743	65.0646302
84.5	92	78.62043644	83.67968022	76.5	80	69.97874432	72.77879586
64	64	68.35622596	69.54008143	56.5	57.5	60.2927577	62.35393487
68	71	70.19486936	72.9832974	56.5	61	60.10015387	63.67692877
67.5	68	70.10587029	71.61934632	57	61	60.60144605	64.06981804
73.5	74	73.05806812	74.58502206	68	67.5	66.05310552	67.28050753
74	76	73.31269058	75.51787025	65	65.5	64.51987607	66.24167628
77	78.5	74.75677021	76.74282594	70.5	72.5	67.15710763	69.66080048
69	74.5	70.39172456	74.39707375	62.5	67.5	63.03668765	66.89581579
72	76	72.31268328	75.59325373	65	67	64.60185953	67.12700049
78	83.5	75.24229826	79.25924926	70	79	67.09467672	73.24990865
78.5	82.5	75.27659609	78.55350004	71.5	84	68.04578294	75.96264751
75.5	77	73.58401517	75.5991192	65	69	64.39953098	67.82412626
72	78	72.16378254	76.44839198	64	69	63.67573466	67.49777883
71.5	74.5	71.72350593	74.41698924	62.5	67	63.32642379	67.12236913
71.5	77	72.17910136	76.15907129	61.5	62.5	62.80359994	64.79181243
76.5	77.5	74.40414328	76.16693708	64	68	64.05939501	67.61158522
77	77	74.78992014	76.04586627	64.5	67.5	64.07315003	66.99721713
75	78.5	73.84383103	76.89247487	65.5	71	64.77540769	69.01126416
74.5	77.5	73.42159782	76.13187151	64.5	72	64.16253042	69.36397128
73.5	76.5	73.04097587	75.7589892	61.5	64	62.5618428	65.08303407
75	78	73.82059351	76.64504677	67.5	71	65.78079902	69.08409931
75	76.5	73.78924124	75.82993475	66	68.5	65.10259016	67.93541818
77.5	80	75.09251457	77.60551187	68.5	70.5	66.35006635	68.90451868
80	82	76.44835119	78.72408825	72	74.5	68.12758322	70.91084174
72	76	71.8970144	75.14585475	65	65.5	64.49066157	66.24911517
71.5	76	72.02477728	75.51764515	63	70	63.1859273	67.86490979
76.5	79.5	74.35072616	77.06679378	70	72.5	66.75479393	69.42355181
76.5	76.5	74.58134096	75.93760845	66.5	71	65.28338864	69.09922637
72	76	72.37892466	75.73075746	63.5	68.5	63.74878105	67.69732452
76	81.5	74.21941431	78.18680089	72.5	75.5	68.45560621	71.51443822
77	82	74.81905038	78.62218262	67	79	65.51455384	73.05689676
75.5	76.5	73.60662877	75.3175067	65.5	71	64.9225709	69.37788342
71.5	75.5	72.02669715	75.29670287	63	64	63.2141874	64.89646194
72	75.5	72.1715207	75.16365364	62.5	64.5	63.13473975	65.56875641
75	76.5	73.66387622	75.64572222	67.5	69	65.4493056	67.50778447
75	76	73.58844345	75.32409818	67	68.5	65.40883301	67.67160656
68.5	70	70.26375319	72.25272599	57.5	58.5	60.60150165	62.53904762
76	75.5	74.32558024	75.36494338	68	70	65.66904121	67.8437007
69.5	73.5	70.32933995	73.54396638	61.5	65	62.91599705	66.25844732
71	73	71.66135744	73.88027613	64	68.5	64.00447183	67.75620643
78	84.5	75.36057309	79.95375498	67.5	78.5	65.71416759	72.68018436
73.5	76.5	73.02428663	75.8285007	65.5	68	64.86114279	67.52832828
74.5	78	73.56364057	76.64843012	66.5	68.5	65.14586499	67.5576092
73.44067797	76.93258427	72.87725636	75.88753567	64.5	68	64.25908434	67.59294745
72.5	80	72.61441233	77.71938413	66	72	65.02980048	69.56068846
72	74.5	71.83200053	74.34551683	64.5	67.5	64.29938448	67.41600114
77	78	74.84858811	76.65380835	68.5	75.5	66.33015054	71.41804665
72	77	72.36607396	76.16687602	64	69	63.95378859	68.01975859
69.5	70	70.77439832	72.26189604	62	65	63.021384	66.06821996
64.5	64.5	68.66101343	69.94347845	56.5	57	60.21651642	61.8514258
57.5	60.5	64.54318181	67.26165966	52.5	55.5	58.15572308	61.12147739
61	62.5	66.20337415	68.21989466	53	54.5	58.1912157	60.21888951
67.5	72	69.99155179	73.52928039	58.5	61.5	61.34482854	64.42989309
76.5	77	74.28274907	75.73054042	62.5	64	63.13408917	65.35615899
65.5	64	68.95319332	69.43224698	54.5	56	59.22278451	61.50637871
66.5	68	69.12381715	71.10483971	58	61.5	60.73450198	63.78592513
72	76	72.36223961	75.65853668	62	66	62.79956309	66.30616873
70	73	71.39483137	74.24618152	60.5	62	62.17039381	64.34398149
67	68	69.26991904	70.98958835	61	63	62.27531851	64.571866
70	72	71.1922133	73.15570752	62.5	67	63.19186647	66.94254802
74.5	78	73.59852538	76.64822121	65.5	71	64.66483822	68.93989988
79.5	82	76.08530243	78.65661898	70	76	66.99125513	71.41267594
76.5	79.5	74.5817199	77.36702846	69.5	75	66.67109031	70.89897546
79	80.5	75.75837198	77.72032415	74.5	84.5	69.55769384	76.25406641
69	72	70.71164635	73.43113285	61	65.5	62.50039906	66.31757683
78	83	75.24394052	79.06139511	67	72	65.19463537	68.82682052
85	82	78.48721283	78.17904979	78.5	77.5	71.21600699	72.2022775
